Unnamed: 0	session	filename	transcript	speaker	image	original_transcript	response	pinmic	array
694	20230325-161026-551	734.wav	私もグラスを持てばいいの？	Kawano	00000021/00021376.jpg	私もグラスを持てばいいの？	そうそう、みんなで乾杯しないとね。||はい、持ってくださいね	splitted_speech/pinmic/20230325-161026-551/734.html	splitted_speech/kawano_original/20230325-161026-551/734.html
665	20230325-161026-551	674.wav	セクシーでしょ	Kawano	00000027/00027137.jpg	セクシーでしょ	背中がセクシーだ||ちょっと露出しすぎじゃない？	splitted_speech/pinmic/20230325-161026-551/674.html	splitted_speech/kawano_original/20230325-161026-551/674.html
63	20230325-150539-579	285.wav	料理の隠し味は液体窒素です。	Yoshino	00000099/00099099.jpg	料理の隠し味は液体窒素です。	面白く。工夫した料理で楽しみです。||面白く。工夫した料理で楽しみです。||面白く。工夫した料理で楽しみです。	splitted_speech/pinmic/20230325-150539-579/285.html	splitted_speech/yoshino_original/20230325-150539-579/285.html
342	20230325-154844-077	5.wav	料理の隠し味は液体窒素です。	Yoshino	00000099/00099099.jpg	料理の隠し味は液体窒素です。	面白く。工夫した料理で楽しみです。||面白く。工夫した料理で楽しみです。||面白く。工夫した料理で楽しみです。	splitted_speech/pinmic/20230325-154844-077/5.html	splitted_speech/yoshino_original/20230325-154844-077/5.html
448	20230325-161026-551	364.wav	料理の隠し味は液体窒素です。	Kawano	00000099/00099099.jpg	料理の隠し味は液体窒素です。	面白く。工夫した料理で楽しみです。||面白く。工夫した料理で楽しみです。||面白く。工夫した料理で楽しみです。	splitted_speech/pinmic/20230325-161026-551/364.html	splitted_speech/kawano_original/20230325-161026-551/364.html
621	20230325-161026-551	614.wav	タレに絡めると本当にあまき甘みが増しておいしい。	Kawano	00000065/00065677.jpg	タレに絡めると本当に甘みが増しておいしい。	そうなの？私もやってみようっと||そうかもね	splitted_speech/pinmic/20230325-161026-551/614.html	splitted_speech/kawano_original/20230325-161026-551/614.html
490	20230325-161026-551	439.wav	ヘイおまち	Kawano	00000099/00099323.jpg	ヘイおまち	美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです	splitted_speech/pinmic/20230325-161026-551/439.html	splitted_speech/kawano_original/20230325-161026-551/439.html
395	20230325-155017-589	40.wav	ヘイおまち	Yoshino	00000099/00099323.jpg	ヘイおまち	美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです	splitted_speech/pinmic/20230325-155017-589/40.html	splitted_speech/yoshino_original/20230325-155017-589/40.html
118	20230325-150539-579	342.wav	ヘイおまち	Yoshino	00000099/00099323.jpg	ヘイおまち	美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです	splitted_speech/pinmic/20230325-150539-579/342.html	splitted_speech/yoshino_original/20230325-150539-579/342.html
792	20230325-161026-551	846.wav	ヘイおまち	Kawano	00000099/00099323.jpg	ヘイおまち	美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです||美味しそうですね。いただきます。||これならきっとお客さまも喜んでくれるわ||それ、お客さんに持っていきますね。||待っていました、とてもおいしそうです	splitted_speech/pinmic/20230325-161026-551/846.html	splitted_speech/kawano_original/20230325-161026-551/846.html
